,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country,class_rank
32,37,4 (5K-10K),citroën,2010,127373,120.0,mpv,grijs,benzine,Handgeschakeld,5.0,4.0,1598.0,1433.0,,,,1.0,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,citroen,grijs,Gray,4 (5K-10K),7500.0,citroen,France,4
33,38,2 (1K-2K),daewoo,2002,96149,83.0,hatchback,blauw,benzine,Handgeschakeld,4.0,4.0,1399.0,995.0,12.1,170.0,5.0,79.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,daewoo,blauw,Blue,2 (1K-2K),1500.0,daewoo,South Korea,2
34,39,2 (1K-2K),renault,2005,194638,98.0,hatchback,blauw,benzine,Handgeschakeld,4.0,4.0,1390.0,975.0,,,5.0,64.0,Euro3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,renault,blauw,Blue,2 (1K-2K),1500.0,renault,France,2
35,40,6 (> 15K),mercedes-benz,2006,221646,272.0,,grijs,lpg,Automaat,,6.0,3498.0,2105.0,8.0,215.0,5.0,181.0,Euro4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,mercedes-benz,grijs,Gray,6 (> 15K),,mercedes-benz,Germany,6
36,41,1 (< 1K),volvo,1998,265279,,sedan,blauw,benzine,Handgeschakeld,4.0,5.0,1984.0,,,,5.0,1.0,Euro2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,volvo,blauw,Blue,1 (< 1K),500.0,volvo,South Korea,1
37,43,3 (2K-5K),volvo,2004,480951,209.0,sedan,grijs,lpg g3,Automaat,4.0,5.0,2521.0,1638.0,,,,1.0,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,volvo,grijs,Gray,3 (2K-5K),2500.0,volvo,South Korea,3
38,44,1 (< 1K),honda,1999,204792,150.0,mpv,grijs,lpg g3,Automaat,5.0,4.0,2254.0,1513.0,12.0,185.0,6.0,158.0,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda,grijs,Gray,1 (< 1K),500.0,honda,Japan,1
39,45,4 (5K-10K),toyota,2014,31000,69.0,hatchback,grijs,benzine,Handgeschakeld,5.0,3.0,998.0,,,160.0,4.0,1.0,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,toyota,grijs,Gray,4 (5K-10K),7500.0,toyota,Japan,4
40,46,5 (10K-15K),honda,2012,145505,141.0,hatchback,blauw,benzine,Handgeschakeld,4.0,4.0,1798.0,1241.0,9.4,215.0,5.0,49.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda,blauw,Blue,,,honda,Japan,5
41,48,2 (1K-2K),renault,2003,253963,80.0,stationwagon,groen,diesel,Handgeschakeld,4.0,4.0,1870.0,1185.0,,,5.0,52.0,Euro3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,renault,groen,Green,2 (1K-2K),1500.0,renault,France,2
42,49,3 (2K-5K),volkswagen,2004,156300,54.0,hatchback,zwart,benzine,Handgeschakeld,3.0,3.0,1198.0,970.0,17.5,152.0,5.0,46.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,3 (2K-5K),2500.0,volkswagen,Germany,3
43,50,2 (1K-2K),ford,2001,251645,145.0,stationwagon,zwart,benzine,Handgeschakeld,5.0,4.0,1999.0,,,210.0,5.0,1.0,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,ford,zwart,Black,2 (1K-2K),1500.0,ford,United States,2
44,51,1 (< 1K),opel,2000,321736,82.0,stationwagon,beige,diesel,Handgeschakeld,5.0,,1994.0,1249.0,,,,65.0,Euro2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,opel,beige,Beige,1 (< 1K),500.0,opel,Germany,1
45,52,4 (5K-10K),mercedes-benz,2007,106965,136.0,mpv,zwart,benzine,Automaat,5.0,4.0,2035.0,1290.0,10.3,195.0,5.0,84.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mercedes-benz,zwart,Black,4 (5K-10K),7500.0,mercedes-benz,Germany,4
46,53,4 (5K-10K),audi,2008,296182,141.0,stationwagon,zwart,diesel,Handgeschakeld,5.0,4.0,1968.0,1465.0,10.0,207.0,5.0,58.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,audi,zwart,Black,4 (5K-10K),7500.0,audi,Germany,4
47,54,2 (1K-2K),suzuki,2002,99575,76.0,hatchback,grijs,benzine,Handgeschakeld,5.0,4.0,1298.0,905.0,12.5,155.0,4.0,49.0,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suzuki,grijs,Gray,2 (1K-2K),1500.0,suzuki,Japan,2
48,56,1 (< 1K),ford,2005,283452,116.0,stationwagon,zilver,diesel,Handgeschakeld,5.0,,1998.0,,,,,57.0,Euro3,0,0,0,0,0,0,1,0,1,1,1,1,0,0,ford,zilver,Silver,1 (< 1K),500.0,ford,United States,1
49,57,5 (10K-15K),hyundai,2015,34478,84.0,hatchback,zwart,benzine,Handgeschakeld,4.0,4.0,1248.0,955.0,13.1,170.0,5.0,13.0,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hyundai,zwart,Black,,,hyundai,South Korea,5
